State_name,District_name,Other_Education,Other_Workers,Graduate_Education,Households_with_Telephone_Mobile_Phone,Households_with_Television,Having_latrine_facility_within_the_premises_Total_Households,Housholds_with_Electric_Lighting,Secondary_Education,Female_Literate,Urban_Households,Having_bathing_facility_Total_Households,Higher_Education,Literate,Households_with_Computer,Households_with_Telephone_Mobile_Phone_Both,Households_with_separate_kitchen_Cooking_inside_house,LPG_or_PNG_Households,Location_of_drinking_water_source_Within_the_premises_Households,Households,Age_Group_30_49,Household_size_3_to_5_persons_Households,Households_with_Telephone_Mobile_Phone_Landline_only,Literate_Education,Male_Literate,Households_with_Car_Jeep_Van,Households_with_Telephone_Mobile_Phone_Mobile_only,Household_size_4_persons_Households,Age_Group_50,Main_Workers,Households_with_Radio_Transistor,Household_size_5_persons_Households,Married_couples_1_Households,Households_with_Scooter_Motorcycle_Moped,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Married_couples_None_Households,Male_Workers,Household_size_3_persons_Households,Workers,Female,Population,Male,Household_size_2_persons_Households,Main_source_of_drinking_water_Tapwater_Households,Households_with_Internet,Household_size_1_to_2_persons,Middle_Education,Total_Education,Non_Workers,Ownership_Rented_Households,Household_size_1_person_Households,Ownership_Owned_Households,Power_Parity_Rs_45000_150000,Hindus,Age_Group_0_29,Married_couples_2_Households,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Primary_Education,Female_Workers,Total_Power_Parity,Religion_Not_Stated,Household_size_6_8_persons_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_150000_240000,Jains,Households_with_Bicycle,Location_of_drinking_water_source_Near_the_premises_Households,Power_Parity_Rs_425000_545000,Female_SC,Main_source_of_drinking_water_Tubewell_Borehole_Households,SC,Power_Parity_Rs_330000_545000,Male_SC,Muslims,Power_Parity_Rs_330000_425000,Below_Primary_Education,Married_couples_3_Households,Household_Workers,Power_Parity_Above_Rs_545000,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Main_source_of_drinking_water_Other_sources_Households,Type_of_latrine_facility_Pit_latrine_Households,Illiterate_Education,Crime,Crime4
MADHYA PRADESH,Bhind,8059,121479,50222,177168,75539,68734,107819,140743,418404,88385,181907,96011,1094917,14368,2561,285941,32268,51290,359596,399676,126610,5223,957870,676513,4463,169384,46066,258588,422111,44068,55017,184647,46137,2276,28074,455775,25527,520768,776162,1703005,926843,22269,39417,1166,32208,199044,1346343,1182237,7464,9939,288622,1123,1595400,1040736,59575,712,411,261162,64993,1786,3571,101448,379,57,101,44,19950,165675,169781,84,170587,9089,374799,136,204212,66776,52,202629,18857,9838,47,1245,994,7572,388473,3695,Low
MADHYA PRADESH,Bhopal,30845,664184,266618,353909,339750,352351,452912,211371,740376,581826,420371,178165,1660690,94729,45536,477778,281442,237019,700719,625594,282108,26655,1506450,920314,60383,281718,115462,330291,706036,128211,99298,365600,213130,73852,50804,644960,67348,867457,1134931,2371061,1236130,45793,290507,40788,63397,287198,1969031,1503604,107036,17604,357177,2188,1755861,1405814,57282,977,1211,303171,222497,4298,7572,120466,354,238,656,418,25950,159808,168763,312,171614,72331,357516,549,185902,525434,237,229082,11406,24732,552,4356,12114,5810,462581,16571,High
MADHYA PRADESH,Burhanpur,4761,96168,28237,55999,58527,50613,112420,57058,175606,62861,110403,42618,408679,5058,5140,136804,40478,50687,178840,181605,72437,2568,429454,233073,2142,48291,27594,106034,274900,11224,28941,102698,22453,2394,13966,211925,15902,328339,369343,757847,388504,12399,95022,986,17357,69765,747416,429508,12487,4958,124087,607,552526,469838,21817,342,265,119468,116414,989,342,43386,160,39,91,52,1884,37369,65467,58,31217,2288,64254,94,33037,180840,36,107547,4602,8077,35,444,468,8702,317962,1135,Low
MADHYA PRADESH,Chhatarpur,7837,184815,59704,180063,82967,56851,176056,112961,371023,95048,120424,77787,943033,15567,5528,353944,36506,47529,470917,394060,169728,5312,925604,572010,6206,169223,60050,252417,553862,65630,71611,268197,48339,4684,38391,481518,38067,751797,826254,1762375,936121,40360,25858,1880,58265,160310,1695872,1010578,12483,17905,354948,1239,1676918,1112636,50366,771,468,236054,270279,1947,1397,118698,413,58,100,42,10409,197839,185719,81,190055,14706,405313,131,215258,70351,50,270951,10861,26390,64,453,535,2592,770268,5133,Low
MADHYA PRADESH,Chhindwara,12141,237620,112383,150476,138316,111901,344875,215098,562904,140802,245014,167946,1294198,20034,14617,427305,73284,102108,553944,535316,244209,12765,1353819,731294,8235,123094,96510,321977,673845,64121,97427,316832,75332,8969,57989,582263,50272,957984,1026454,2090922,1064468,40823,164167,3588,59289,225747,2017265,1132938,34728,18466,376356,1618,1923920,1232263,54328,914,704,336391,375721,2513,1087,117941,455,73,190,117,7830,158956,201932,103,113779,13482,232244,166,118465,100692,63,284113,7838,14585,83,613,1676,9203,663446,5180,Low
MADHYA PRADESH,Damoh,5260,142436,41158,104780,66044,43355,187731,95032,301978,66514,90156,64414,747715,10504,3985,288272,23270,36196,369901,312593,168849,5284,771117,445737,3031,95511,64924,181403,389993,45871,61614,233178,28333,2473,41605,367711,42311,574595,602346,1264219,661873,45411,37933,1432,64022,150040,1240155,689624,10655,18611,283661,901,1186420,768929,23000,547,354,217296,206884,1359,1850,62447,287,33,59,26,25005,116361,131839,46,116460,9635,246337,75,129877,47966,29,197917,2799,67383,36,252,1116,2795,469038,3649,Low
MADHYA PRADESH,Datia,4262,67674,34853,89056,55966,35209,97696,73398,187630,43401,90102,48978,491445,5251,2229,150242,17555,33638,203854,195131,82921,2856,513988,303815,2897,83971,32738,118186,247229,22895,32027,109942,25575,1382,19319,225662,18156,321160,366597,786754,420157,16280,21821,616,23731,88949,774064,465594,4235,7451,153252,622,747693,473097,23412,385,237,131372,95498,951,1019,43215,202,25,44,19,453,65191,83399,36,93138,6790,200270,58,107132,28483,22,132176,5506,6839,25,274,309,3296,260076,2614,Low
MADHYA PRADESH,Dewas,4991,160032,55383,168269,124826,112895,270457,125772,374653,101014,193157,94403,925369,16523,10372,291655,59521,69986,376009,388648,160739,8237,897959,550716,9017,149660,65024,230280,528526,35470,62333,203951,77281,7862,31079,451501,33382,742676,758356,1563715,805359,27019,64926,3518,36633,149522,1463324,821039,18785,9614,278354,1210,1376591,943954,53003,679,531,225380,291175,1899,1229,86599,334,61,147,86,6497,117794,151581,84,141747,57651,292007,136,150260,174259,52,242508,13544,11816,73,935,3996,4755,565365,5434,Medium
MADHYA PRADESH,Dhar,6543,189185,66721,183741,123750,126246,349639,134279,438859,103364,198890,99882,1077338,18626,10365,409621,75637,89435,515712,533243,209444,7096,978149,638479,8080,166280,82711,273050,783019,31650,83514,289239,85477,5900,36394,597079,43219,1027974,1073068,2185793,1112725,36576,122739,2388,50306,164576,2000000,1157819,33109,13730,378227,1626,2051219,1377326,74754,897,729,244058,430895,2470,1889,129512,453,56,200,144,12199,114497,171424,77,71145,30085,145436,124,74291,116202,47,262090,15767,15830,66,874,4790,12831,1021851,5547,Medium
MADHYA PRADESH,Dindori,1674,40921,15179,25956,13765,9945,62372,49277,155955,9774,12242,31104,378714,6447,1438,165866,4576,10050,227795,181841,96460,1759,398176,222759,1291,22759,37087,102522,250137,25563,33957,124088,7979,754,22830,203383,25416,389925,352611,704524,351913,25867,11475,554,36568,84065,693831,314599,4301,10701,162879,459,605435,419531,19909,274,185,113875,186542,652,3101,33585,151,4,25,21,687,26743,71877,5,19416,770,39782,9,20366,6736,4,103002,1906,7958,7,205,475,679,295655,1038,Low
MADHYA PRADESH,Guna,6451,113254,42147,120895,80642,47903,144248,79924,253443,72320,118411,50724,653980,11740,5706,232368,34184,50611,285085,285176,119065,4328,618849,400537,5968,110861,44051,162104,353671,36818,49353,176507,43568,4802,19054,335454,25661,514897,592157,1241519,649362,25762,46271,2482,33161,84560,1196883,726622,13478,7399,224082,845,1172248,793150,36355,498,347,157141,179443,1302,1534,75408,254,38,71,33,13474,76571,113490,52,92469,18012,193115,84,100646,49203,32,197902,7692,12079,48,555,1124,2274,578034,3708,Low
MADHYA PRADESH,Gwalior,23148,411785,193947,253163,232840,221052,306859,193082,554096,272172,278747,166719,1357210,46454,24616,345303,165061,177949,444892,519728,188922,15878,1253339,803114,21313,212669,73239,291451,559845,55302,76641,250533,126189,30277,35383,548820,39042,685311,941709,2032036,1090327,26935,163561,15779,36335,204871,1807825,1346725,45158,9400,316586,1620,1835299,1218319,61417,797,823,235924,136491,2830,3457,112892,330,153,300,147,18058,194763,130088,201,182714,51301,393068,330,210354,141735,129,235648,17029,22592,249,728,4716,8095,554486,11015,Medium
MADHYA PRADESH,Harda,3469,55245,27126,63615,45661,51766,95066,46556,148743,31845,71326,31939,352550,5376,2775,106844,22174,38378,144559,138882,56810,2312,347639,203807,3556,58528,21669,83417,163781,6664,23004,78532,30952,2269,10534,156852,12137,230979,275627,570465,294838,9767,21860,986,13458,60757,525370,339486,7072,3691,99039,399,527462,347774,17520,240,159,87733,74127,619,1283,33489,128,16,30,14,1573,29025,46120,21,44312,11807,92865,35,48553,38640,14,90059,3579,6459,28,128,334,3451,177731,1306,Low
MADHYA PRADESH,Hoshangabad,9279,169693,84769,138517,112371,122069,198076,119682,341445,105746,166373,89589,810644,14456,7611,242346,61415,108846,315396,318232,137955,5440,791254,469199,7335,125466,53582,191501,361648,22634,55128,183631,67460,7754,27496,345435,29245,478082,592625,1241350,648725,23157,64944,2871,33099,145076,1135746,763268,25354,9942,217340,969,1175203,730768,34059,559,410,183156,132647,1535,753,69820,276,55,99,44,3888,106654,101614,75,97770,31892,205007,121,107237,52269,46,159703,5999,9982,70,935,735,11143,344492,4078,Low
MADHYA PRADESH,Indore,36326,888176,382658,479762,464337,480633,593576,362209,1019499,587947,545277,300076,2309130,111478,61876,602097,417170,302125,788318,894464,347858,35467,2366526,1289631,64865,382419,146797,493096,1137251,199866,123675,406052,286973,88099,57053,939055,77386,1268195,1577070,3276697,1699627,46409,291070,48691,64254,384611,3084700,2008502,134832,17845,457287,3134,2728225,1877270,108374,1438,1696,472233,329140,5783,5228,154066,539,323,779,456,71667,318881,201299,424,265055,201907,545239,716,280184,415142,292,428413,34326,43584,615,7542,12126,11302,718174,18915,High
MADHYA PRADESH,Jabalpur,24872,545160,235072,274726,285248,286802,452023,268333,776161,352477,326960,222987,1756468,58601,29449,495406,192581,187442,624761,679185,309266,19978,1685390,980307,26487,225299,126486,391903,744287,96985,112003,375065,154678,40531,56512,705970,70777,1005624,1186011,2463289,1277278,53407,229977,20443,73181,313910,2225419,1457665,64448,19774,434882,2189,2159065,1387369,67829,1105,1084,352284,299654,3776,5116,112904,471,199,370,171,33728,271469,212728,261,168171,48976,348029,428,179858,203652,167,267932,12531,69946,318,3802,2383,15989,540029,10908,Medium
MADHYA PRADESH,Jhabua,1973,65165,20240,60130,22470,24293,125411,38236,137499,24713,46247,28990,352081,5591,2661,204203,16683,19449,235793,220769,88532,1463,307994,214582,2215,56006,32178,119681,370641,9554,37827,147430,20076,1718,11672,265489,18527,515121,510025,1025048,515023,13785,22215,744,17169,40466,1083658,509927,7149,3384,197972,1109,960925,684200,40524,706,403,79781,249632,1612,502,80303,398,20,33,13,8871,31319,99268,26,8657,4294,17427,42,8770,15733,16,98308,6643,5132,30,71,624,1629,775664,2028,Low
MADHYA PRADESH,Katni,6658,175899,53578,100862,76207,56180,172416,112242,330190,72880,74604,80935,790773,13094,4990,275663,38086,55142,349031,326582,158431,4570,820953,460583,3958,91302,59446,185857,316144,35724,61467,217518,35359,4652,33877,348410,37518,543874,630029,1292042,662013,37252,50054,2179,53016,161727,1286327,748168,16045,15764,268593,965,1240650,778414,32032,528,437,207366,195464,1476,1693,70214,266,36,115,79,5342,133962,152026,48,76348,18098,155717,78,79369,37232,30,198447,4719,31261,52,301,308,2956,465374,3228,Low
